20240927	17:15:36	a3f80d3a-185b-41fe-b42b-6a29dc53b466	GET	undefined	/logout
20240927	17:16:53	a0550f92-4aff-465e-aff7-9931c9170295	GET	undefined	/refresh
20240927	17:18:50	37cebd82-a032-44af-83e8-ba2e9193c18c	GET	undefined	/refresh
20240927	17:19:24	6e9a4f45-5faa-4578-b3dd-dba3b3449167	POST	undefined	/auth
20240930	09:53:56	b0d61722-097e-48f3-b465-628b4419c892	GET	undefined	/
20240930	10:42:44	bc4a4d20-8257-4725-b995-04db013df758	POST	undefined	/auth
20240930	10:43:16	2e15eccf-d312-4a5d-8f5e-ff86dec38c26	GET	undefined	/employees
20240930	10:43:33	f5c43339-8856-4fbe-9911-21836186fa24	GET	undefined	/employees
20240930	10:44:04	bc2da518-886f-467f-bdc4-31ceaa9d1c35	POST	undefined	/auth
20240930	10:44:31	d1aafd5c-dcdf-465c-b3dc-c6ccfa280b83	GET	undefined	/employees
20240930	10:44:41	875b5f54-e9ca-432a-a3fc-4661461bcb6c	POST	undefined	/employees
20240930	10:48:09	22ce8a24-bbe1-4bf0-845a-0507660416a7	POST	undefined	/auth
20240930	10:48:30	978a3063-a3dd-47d7-b76c-8001fa3221ec	POST	undefined	/employees
20240930	10:49:47	f127f1c2-17c4-49d3-9775-5d8fdfc94e10	POST	undefined	/auth
20240930	10:50:05	fb345a32-85d7-45a2-a148-bc52dc7371c7	POST	undefined	/employees
20240930	10:50:40	c017287c-3cb7-4f0e-a54d-91240e945b0f	POST	undefined	/auth
20240930	10:51:00	2fb370bb-7fcc-4612-9840-f7615cb4c30b	POST	undefined	/employees
20240930	10:57:49	f9ecc9e4-bc39-40d5-af65-66c098d75987	GET	undefined	/auth
20240930	10:57:57	7f2dcec1-539d-4c79-8939-e865e985671e	POST	undefined	/auth
20240930	10:58:27	e75a09b4-f1e3-4912-b5ab-cd871d996238	GET	undefined	/employees
20240930	10:58:39	7ff54718-3880-42a7-9f6f-f5ffedb00a62	POST	undefined	/employees
20240930	10:59:33	a4da9180-e975-48a7-83a3-4c2e61d1d2eb	POST	undefined	/auth
20240930	11:00:21	21f4eed9-7aa5-4d00-93e2-702ca0e882dd	POST	undefined	/employees
20240930	11:00:39	044ec54d-e850-40a6-a9f7-61cabc14ef35	POST	undefined	/employees
20240930	11:01:47	fa5d42c1-2957-4d07-96a9-672c5593cf8b	POST	undefined	/auth
20240930	11:02:28	376b044d-8820-4576-827d-abd31f1c863c	POST	undefined	/employees
20240930	11:02:45	f3d51c9c-c273-46cd-b01b-53bc15bc8ea1	DELETE	undefined	/employees
20240930	11:04:09	6e46ae83-09c6-418c-8da0-f62905ee124d	POST	undefined	/auth
20240930	11:04:16	89a7acb8-3488-4aab-99f7-4cb54929f69b	POST	undefined	/auth
